ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
1,1,1,2025-11-29 00:00:00,16,5,83,788,19,1,0,0
2,1,1,2025-11-25 00:00:00,16,5,83,789,19,2,1,0
3,1,1,2025-11-27 00:00:00,16,5,83,787,19,3,1,0
4,1,1,2025-11-24 00:00:00,16,5,83,787,19,4,1,0
5,3,1,2023-10-29 00:00:00,16,6,158,1363,25,7,1,0
6,3,1,2023-10-29 00:00:00,16,6,158,1370,27,8,1,0
7,3,1,2023-10-29 00:00:00,16,6,158,1364,27,9,1,0
8,3,1,2023-10-29 00:00:00,16,6,158,1366,27,10,1,0
9,3,1,2023-10-29 00:00:00,16,6,158,1364,27,11,1,0
10,4,1,2025-02-28 00:00:00,16,3,105,966,11,12,1,0
11,8,1,2023-06-26 00:00:00,16,13,177,1498,103,14,1,1
12,8,1,2023-06-26 00:00:00,16,27,170,1450,103,15,0,0
13,9,1,2022-07-16 00:00:00,16,1,175,1485,1,17,1,0
14,9,1,2022-07-14 00:00:00,16,1,175,1482,1,18,1,0
15,11,1,2022-03-18 00:00:00,16,3,105,964,10,19,1,0
16,13,1,2025-10-27 00:00:00,16,5,81,768,20,20,1,0
17,15,1,2025-09-28 03:34:27,16,17,117,1054,65,21,1,0
18,16,1,2026-06-04 00:00:00,16,11,96,894,44,22,1,0
19,18,1,2023-07-26 00:00:00,16,25,143,1249,94,23,1,0
20,18,1,2023-07-26 00:00:00,16,25,143,1252,96,25,0,0
21,19,1,2023-07-28 00:00:00,16,11,155,1346,41,27,1,0
22,19,1,2023-07-31 00:00:00,16,11,97,899,41,28,1,0
23,20,1,2024-11-25 00:00:00,16,5,84,791,121,29,1,0
24,20,1,2024-11-25 00:00:00,16,5,84,793,121,30,1,0
25,23,1,2025-10-01 00:00:00,16,3,105,967,11,31,1,0
26,23,1,2025-09-18 00:00:00,16,3,105,971,11,33,1,0
27,23,1,2025-09-17 00:00:00,16,3,105,967,11,34,1,0
28,23,2,2025-09-17 00:00:00,16,3,105,967,11,36,1,0
29,25,1,2022-12-18 00:00:00,16,11,94,873,41,38,1,0
30,25,1,2022-12-27 00:00:00,16,30,27,318,41,39,1,0
31,25,2,2022-12-19 00:00:00,16,11,94,874,41,41,1,0
32,25,2,2022-12-20 00:00:00,16,22,21,236,41,42,1,0
33,26,1,2026-06-08 00:00:00,16,7,82,782,11,43,1,0
34,27,2,2021-03-17 00:00:00,16,13,123,1105,49,45,1,0
35,27,1,2021-04-02 00:00:00,16,31,45,498,49,46,1,0
36,27,1,2021-03-17 00:00:00,16,5,138,1213,49,47,1,0
37,28,1,2025-08-05 00:00:00,16,5,80,757,20,48,1,0
38,32,1,2024-10-31 00:00:00,16,5,84,790,21,50,1,0
39,33,1,2023-10-05 00:00:00,16,11,96,890,41,51,1,0
40,33,2,2023-10-05 00:00:00,16,11,96,890,41,52,1,0
41,34,1,2022-12-08 00:00:00,16,22,89,836,85,54,1,0
42,39,1,2024-06-17 00:00:00,16,3,104,962,11,59,1,1
43,40,1,2025-08-22 00:00:00,16,4,177,1496,16,60,1,0
44,40,1,2025-08-22 00:00:00,16,4,177,1499,16,61,1,0
45,40,1,2025-08-22 00:00:00,16,4,177,1501,16,62,1,0
46,41,1,2025-09-23 00:00:00,16,8,31,367,84,63,1,0
47,42,1,2022-04-24 00:00:00,16,5,80,759,21,64,1,0
48,43,2,2024-06-23 00:00:00,16,22,92,858,82,65,0,0
49,44,1,2025-10-27 00:00:00,16,26,129,1155,97,66,1,0
50,44,1,2025-10-31 00:00:00,16,26,129,1155,97,67,1,0
51,46,1,2024-07-23 00:00:00,16,4,47,513,51,68,1,0
52,46,1,2024-07-23 00:00:00,16,13,123,1107,51,69,1,0
53,47,1,2021-07-24 00:00:00,16,22,92,855,83,70,1,0
54,48,1,2022-09-16 00:00:00,16,26,128,1143,98,71,1,0
55,49,1,2025-10-19 00:00:00,16,3,104,956,84,73,0,0
56,49,1,2025-10-12 00:00:00,16,6,100,928,84,74,1,0
57,49,2,2025-10-12 00:00:00,16,22,92,859,84,75,1,0
58,49,1,2025-10-14 00:00:00,3,29,122,1102,84,76,1,0
59,49,1,2025-10-11 00:00:00,16,22,92,860,84,77,1,0
60,49,1,2025-10-12 00:00:00,16,22,92,857,84,78,1,0
61,50,1,2024-12-02 00:00:00,16,2,134,1184,6,79,1,0
62,51,1,2024-06-21 00:00:00,16,3,105,967,12,80,1,0
63,52,1,2021-04-02 00:00:00,16,13,123,1105,54,81,1,0
64,55,1,2024-07-14 00:00:00,16,17,110,998,66,83,0,0
65,58,1,2022-01-14 00:00:00,16,5,73,684,19,86,1,0
66,59,1,2025-10-30 00:00:00,16,5,84,790,19,87,1,0
67,60,1,2025-07-03 00:00:00,16,5,78,738,20,89,1,0
68,61,1,2023-06-04 00:00:00,16,5,75,703,19,91,1,0
69,61,1,2023-06-02 00:00:00,16,5,75,705,19,93,1,0
70,61,1,2023-05-31 00:00:00,16,5,75,708,19,94,1,0
71,62,1,2025-09-22 00:00:00,16,22,86,802,84,95,1,0
72,62,1,2025-06-20 00:00:00,16,22,86,810,84,96,1,0
73,66,1,2026-03-06 00:00:00,16,11,101,931,42,99,1,0
74,68,1,2025-10-21 00:00:00,16,19,191,1623,75,100,1,0
75,72,1,2023-03-12 00:00:00,16,22,89,837,82,104,1,0
76,72,1,2023-03-20 00:00:00,16,22,89,837,87,105,0,0
77,75,1,2024-03-10 00:00:00,16,30,137,1205,91,109,1,0
78,76,2,2025-02-16 00:00:00,16,3,102,942,13,110,1,0
79,76,1,2025-02-16 00:00:00,16,3,102,938,10,111,1,0
80,77,2,2026-04-30 00:00:00,16,11,98,909,40,112,1,0
81,78,1,2022-04-17 00:00:00,16,5,74,694,21,114,1,0
82,78,1,2022-04-16 00:00:00,16,19,70,664,21,115,1,0
83,78,1,2022-04-15 00:00:00,16,5,74,693,21,117,1,0
84,78,1,2022-04-16 00:00:00,16,5,74,696,21,118,1,0
