CSID,CaseMasterID,csdate,cstype,PolicePersonID
1,1,02-03-2026 07:08,A,786
2,2,06-03-2026 17:05,A,865
3,3,04-02-2024 16:38,B,1363
4,4,13-05-2025 22:41,A,970
5,5,06-12-2022 00:48,A,877
6,6,13-08-2025 10:17,B,957
7,8,10-09-2023 12:06,A,1448
8,9,10-09-2022 19:16,A,1481
9,10,20-11-2025 12:05,B,1318
10,11,09-05-2022 20:39,B,969
11,12,06-12-2023 07:49,A,1523
12,13,27-12-2025 07:55,A,767
13,14,19-05-2022 05:23,A,931
14,15,31-12-2025 08:44,A,1055
15,17,03-12-2024 23:15,C,919
16,18,23-09-2023 08:59,A,1254
17,20,10-01-2025 01:14,A,790
18,21,21-06-2022 12:17,A,800
19,22,12-04-2025 10:13,A,1003
20,23,03-11-2025 20:29,C,966
21,24,13-02-2024 08:47,A,933
22,25,16-04-2023 18:25,A,871
23,26,20-07-2026 00:00,A,935
24,27,28-05-2021 05:50,A,1107
25,29,05-07-2024 14:33,A,705
26,30,19-07-2026 00:00,A,1624
27,31,03-10-2024 09:27,A,703
28,32,10-12-2024 23:56,A,792
29,33,22-12-2023 03:55,C,897
30,36,10-04-2021 20:32,A,1249
31,37,17-04-2024 16:58,A,1204
32,38,28-11-2024 15:01,A,1145
33,39,17-10-2024 09:15,A,955
34,40,16-09-2025 18:05,A,1496
35,42,12-08-2022 17:49,A,758
36,43,05-07-2024 15:35,A,856
37,44,04-02-2026 06:59,A,1152
38,45,31-05-2024 22:12,A,749
39,46,19-09-2024 16:28,A,1104
40,47,24-07-2021 02:21,C,855
41,48,28-11-2022 02:45,A,1134
42,49,17-01-2026 01:55,C,857
43,50,29-01-2025 06:34,C,1182
44,52,03-07-2021 18:36,A,1107
45,53,24-02-2025 03:06,A,762
46,54,16-07-2025 13:29,A,683
47,55,08-10-2024 12:46,C,1001
48,56,12-01-2026 03:15,A,1412
49,57,05-12-2025 08:29,A,901
50,59,22-01-2026 02:28,A,790
51,60,25-05-2026 00:05,A,736
52,61,20-07-2023 12:57,A,701
53,62,04-09-2025 00:24,A,803
54,63,18-09-2022 22:46,A,971
55,64,17-06-2021 09:13,A,1093
56,66,22-03-2026 01:03,A,933
57,67,08-12-2022 16:10,A,1204
58,68,20-01-2026 19:04,A,1619
59,69,04-01-2026 18:15,A,1117
60,70,05-10-2022 16:20,A,1200
61,71,09-03-2026 22:20,A,1147
62,73,29-03-2023 14:20,A,713
63,74,19-07-2026 00:00,A,720
64,76,07-06-2025 08:08,A,939
65,77,12-07-2026 00:00,C,912
66,79,25-11-2022 20:33,A,964
67,80,17-05-2024 03:56,A,1074
68,81,10-01-2024 03:47,A,787
69,82,12-04-2023 06:43,A,1620
70,83,05-12-2024 08:57,A,875
71,84,20-12-2022 00:21,A,1462
72,85,22-06-2024 08:10,A,954
73,86,12-08-2021 03:04,A,1026
74,87,02-11-2024 11:37,C,883
75,88,20-10-2024 01:57,A,903
76,89,20-11-2024 07:42,A,757
77,91,25-03-2023 19:47,C,945
78,93,16-11-2021 07:55,A,813
79,96,01-03-2025 00:11,A,1010
80,97,18-02-2024 13:51,A,901
81,98,02-06-2025 01:54,A,1046
82,99,09-08-2021 14:22,C,1045
83,100,15-05-2023 21:12,A,1131
84,101,10-09-2024 02:49,A,1426
85,102,19-05-2021 17:21,C,1064
86,104,02-05-2025 08:11,A,1028
87,105,28-02-2025 13:22,A,977
88,106,20-02-2024 18:12,A,792
89,108,01-06-2024 00:33,A,975
90,109,13-01-2023 02:42,A,857
91,110,27-03-2026 09:32,C,1353
92,113,09-07-2023 10:25,A,959
93,114,27-08-2025 12:43,A,974
94,115,07-02-2024 09:25,A,1056
95,116,20-01-2023 19:41,A,1612
96,117,23-06-2023 14:43,A,999
97,118,13-03-2023 23:10,A,757
98,119,22-08-2024 21:40,A,994
99,120,17-07-2026 00:00,A,1582
100,121,18-05-2024 15:39,A,1502
101,122,04-04-2025 14:26,A,937
102,123,03-11-2021 04:41,A,1024
103,124,14-07-2026 00:00,A,759
104,125,15-10-2023 01:35,A,919
105,126,01-01-2025 03:29,A,1676
106,127,06-09-2024 19:20,A,1535
107,128,31-01-2024 23:57,C,895
108,129,13-07-2026 00:00,A,926
109,130,31-03-2025 07:53,C,1000
110,131,15-09-2023 08:28,A,1198
111,132,23-11-2022 07:17,A,834
112,134,25-05-2025 07:24,C,703
113,135,30-01-2022 02:26,C,1123
114,136,13-06-2026 13:24,A,907
115,137,12-03-2026 00:54,A,850
116,138,26-01-2023 12:54,A,893
117,139,26-10-2022 23:34,C,787
118,140,12-05-2021 12:21,A,826
119,141,22-05-2026 14:58,C,852
120,142,01-09-2025 18:36,A,1260
121,143,14-05-2024 13:08,A,1163
122,144,09-11-2025 08:24,A,717
123,145,24-09-2023 12:17,C,1020
124,146,27-03-2023 02:30,A,1405
125,147,29-12-2023 07:41,A,1573
126,148,19-06-2026 20:02,A,712
127,149,17-10-2025 04:15,A,966
128,150,10-01-2022 03:36,A,787
129,151,25-09-2021 19:38,A,821
130,152,08-02-2026 05:19,A,1424
131,153,13-06-2025 12:25,A,1086
132,154,24-01-2024 22:53,A,1044
133,155,22-09-2025 19:51,B,1126
134,156,04-07-2026 18:50,A,898
135,157,23-02-2025 16:41,A,1149
136,158,07-12-2024 15:06,A,1449
137,159,15-04-2021 20:57,A,1377
138,160,19-12-2022 16:41,A,770
139,161,16-09-2021 17:49,A,1195
140,162,01-06-2023 10:54,A,1159
141,163,21-09-2024 02:17,A,1499
142,164,17-03-2021 12:21,A,972
143,165,27-12-2022 10:11,A,1151
144,166,16-07-2026 00:00,C,1152
145,168,03-05-2026 02:15,A,1389
146,169,24-02-2021 17:48,C,862
147,170,16-11-2024 00:05,A,815
148,171,08-04-2022 22:15,A,1240
149,172,23-05-2023 11:27,A,895
150,173,06-07-2023 22:29,C,1170
151,174,08-07-2025 10:07,A,819
152,175,16-12-2022 22:11,A,1173
153,177,23-06-2021 16:38,A,1129
154,179,20-01-2024 06:18,A,901
155,180,17-06-2026 04:17,A,1616
156,181,01-05-2026 17:18,A,1344
157,183,30-01-2026 00:36,A,857
158,185,10-04-2022 14:21,A,703
159,186,19-07-2026 00:00,A,1171
160,187,20-03-2023 18:40,C,794
161,188,07-05-2025 02:15,A,899
162,189,09-04-2025 13:38,A,1656
163,190,27-01-2022 14:58,B,1012
164,191,16-07-2023 18:27,A,857
165,192,28-02-2023 03:48,A,967
166,193,25-02-2025 08:42,A,986
167,194,27-12-2024 00:26,A,848
168,195,21-01-2024 15:18,A,820
169,196,17-07-2026 00:00,A,982
170,197,16-09-2021 20:37,A,696
171,198,13-03-2021 08:52,A,1329
172,199,08-12-2021 05:50,A,1000
173,200,14-07-2021 14:07,A,1233
174,201,03-06-2023 22:25,A,1647
175,202,15-02-2026 01:56,B,699
176,203,06-07-2026 19:16,A,811
177,204,01-07-2021 18:37,A,986
178,205,23-04-2024 21:52,A,1036
179,206,17-08-2025 16:41,B,971
180,207,06-02-2025 05:37,B,793
181,208,29-03-2022 11:26,A,1054
182,209,27-09-2025 03:54,A,1700
183,210,18-06-2026 12:52,A,1382
184,211,26-06-2023 10:16,A,796
185,212,02-07-2022 12:55,A,1152
186,213,11-06-2021 14:26,A,861
187,214,22-06-2026 11:39,A,926
188,215,19-11-2025 17:08,A,1174
189,216,21-09-2021 22:31,A,1589
190,217,04-10-2023 19:51,A,1114
191,218,06-02-2023 13:05,A,1159
192,219,07-07-2025 03:29,A,1454
193,220,17-09-2021 09:32,C,1559
194,221,26-02-2023 15:30,A,967
195,222,17-06-2026 19:32,A,1155
196,223,21-08-2022 02:17,B,1622
197,224,15-10-2025 00:18,A,1155
198,225,12-04-2025 18:37,C,864
199,226,13-08-2023 10:35,A,1133
200,227,17-07-2026 00:00,A,1086
201,228,15-01-2025 01:20,A,1383
202,229,28-01-2023 12:24,A,1114
203,230,10-01-2023 18:21,A,800
204,231,11-01-2026 14:06,A,774
205,233,08-12-2024 20:09,A,1198
206,234,19-01-2022 08:21,C,754
207,235,04-01-2024 21:54,A,1362
208,236,15-07-2021 10:40,A,690
209,237,08-03-2022 20:43,A,902
210,238,14-07-2026 00:00,A,779
211,239,09-09-2021 05:44,A,1148
212,240,17-06-2022 01:20,A,841
213,241,17-03-2025 16:26,A,1119
214,243,01-12-2024 02:39,A,926
215,245,09-03-2026 04:14,A,864
216,246,26-07-2023 14:16,A,724
217,247,27-09-2021 17:10,C,713
218,248,04-11-2022 11:37,B,1179
219,249,03-11-2023 09:12,A,1162
220,250,11-05-2022 03:15,B,762
221,251,16-10-2024 09:01,A,885
222,252,16-09-2023 00:36,A,693
223,253,13-12-2025 09:49,A,1249
224,254,13-04-2026 11:14,A,1366
225,255,22-07-2021 21:43,B,998
226,256,12-07-2024 20:41,A,986
227,257,12-03-2025 23:08,A,997
228,258,24-03-2025 10:47,A,970
229,259,01-11-2025 11:33,C,933
230,260,27-12-2022 05:16,A,1387
231,262,19-12-2022 03:29,A,786
232,263,01-07-2021 07:55,A,722
233,264,06-07-2024 17:23,A,786
234,265,01-04-2023 00:16,A,1152
235,266,07-04-2026 08:37,A,881
236,267,16-10-2022 11:06,A,1186
